,Monday,Tuesday,Wednesday,Thursday,Friday
9:30AM - 12:30PM,"[[[4222, 'BSC1', 'ST6'], ['LR1'], ['MTM1']]]","[[[4227, 'BSC1', 'ST4'], ['LR1'], ['TTM1']], [[4210, 'BSC1', 'ST1'], ['CR1'], ['TTM1']]]","[[[6226, 'BSC3', 'ST6'], ['LR1'], ['WTM1']], [[5222, 'BSC2', 'ST6'], ['LH1'], ['WTM1']]]",,"[[[4222, 'BSC1', 'ST6'], ['LH1'], ['FTM1']], [[6008, 'BSC3', 'ST1'], ['LB1'], ['FTM1']]]"
12:00PM - 2:00PM,"[[[4227, 'BSC1', 'ST4'], ['LB1'], ['MTM2']]]",,,,
2:00PM - 5:00PM,"[[[4202, 'BSC1', 'ST3'], ['LB1'], ['MTM3']], [[6226, 'BSC3', 'ST6'], ['LH1'], ['MTM3']], [[5201, 'BSC2', 'ST2'], ['CR1'], ['MTM3']]]",,"[[[4220, 'BSC2', 'ST5'], ['LR1'], ['WTM3']]]","[[[4210, 'BSC1', 'ST1'], ['LB1'], ['THTM3']]]","[[[5225, 'BSC2', 'ST6'], ['LB1'], ['FTM3']], [[6224, 'BSC1', 'ST4'], ['LH2'], ['FTM3']]]"
